OTU_ID	taxonomy	kingdom	phylum	class	order	Confidence
1196	Root;k__Chromista;p__Myzozoa;c__Dinophyceae;o__Suessiales	Chromista	Myzozoa	Dinophyceae	Suessiales	1
1197	Root;k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Laboulbeniales	Fungi	Ascomycota	Laboulbeniomycetes	Laboulbeniales	1
1198	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	1
1199	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	1
1200	Root;k__Chromista;p__Ciliophora;c__Oligohymenophorea;o__Philasterida	Chromista	Ciliophora	Oligohymenophorea	Philasterida	1
1201	Root;k__Chromista;p__;c__Polycystina;o__	Chromista		Polycystina		1
1202	Root;k__Protozoa;p__Mycetozoa;c__Myxomycetes;o__Cribrariales	Protozoa	Mycetozoa	Myxomycetes	Cribrariales	1
1203	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Minutisphaerales	Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	1
1204	Root;k__Chromista;p__Haptophyta;c__Prymnesiophyceae;o__Isochrysidales	Chromista	Haptophyta	Prymnesiophyceae	Isochrysidales	1
1205	Root;k__Fungi;p__Ascomycota;c__;o__Triblidiales	Fungi	Ascomycota		Triblidiales	1
1206	Root;k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	1
1207	Root;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	Fungi	Basidiomycota	Tremellomycetes	Tremellales	1
1208	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Koralionastetales	Fungi	Ascomycota	Sordariomycetes	Koralionastetales	1
1209	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Collemopsidiales	Fungi	Ascomycota	Dothideomycetes	Collemopsidiales	1
1210	Root;k__Chromista;p__Ochrophyta;c__Chrysophyceae;o__Hibberdiales	Chromista	Ochrophyta	Chrysophyceae	Hibberdiales	1
1211	Root;k__Protozoa;p__Euglenozoa;c__Postgaardea;o__Bihospitida	Protozoa	Euglenozoa	Postgaardea	Bihospitida	1
1212	Root;k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cyphobasidiales	Fungi	Basidiomycota	Cystobasidiomycetes	Cyphobasidiales	1
1213	Root;k__Protozoa;p__;c__Haplosporea;o__Haplosporida	Protozoa		Haplosporea	Haplosporida	1
1214	Root;k__Protozoa;p__Microsporidia;c__Rudimicrosporea;o__Metchnikovellida	Protozoa	Microsporidia	Rudimicrosporea	Metchnikovellida	1
1215	Root;k__Chromista;p__Ciliophora;c__Nassophorea;o__Nassulopsida	Chromista	Ciliophora	Nassophorea	Nassulopsida	1
1216	Root;k__Chromista;p__Heliozoa;c__;o__Desmothoracida	Chromista	Heliozoa		Desmothoracida	1
1217	Root;k__Fungi;p__Mucoromycota;c__Mortierellomycetes;o__Mortierellales	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	1
1218	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Biddulphiales	Chromista	Ochrophyta	Bacillariophyceae	Biddulphiales	1
1219	Root;k__Protozoa;p__Euglenozoa;c__Euglenoidea;o__Petalomonadida	Protozoa	Euglenozoa	Euglenoidea	Petalomonadida	1
1220	Root;k__Chromista;p__Bigyra;c__Labyrinthulea;o__	Chromista	Bigyra	Labyrinthulea		1
1221	Root;k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Umbilicariales	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	1
1222	Root;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	1
1223	Root;k__Chromista;p__Haptophyta;c__Prymnesiophyceae;o__Prymnesiales	Chromista	Haptophyta	Prymnesiophyceae	Prymnesiales	1
1224	Root;k__Protozoa;p__Choanozoa;c__;o__	Protozoa	Choanozoa			1
1225	Root;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	1
1226	Root;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Strigulales	Fungi	Ascomycota	Dothideomycetes	Strigulales	1
1227	Root;k__Chromista;p__Haptophyta;c__;o__	Chromista	Haptophyta			1
1228	Root;k__Chromista;p__Haptophyta;c__Prymnesiophyceae;o__Watznaueriales	Chromista	Haptophyta	Prymnesiophyceae	Watznaueriales	1
1229	Root;k__Chromista;p__Myzozoa;c__Dinophyceae;o__Gymnodiniales	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	1
1230	Root;k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Olpidiales	Fungi	Chytridiomycota	Chytridiomycetes	Olpidiales	1
1231	Root;k__Chromista;p__Ochrophyta;c__;o__	Chromista	Ochrophyta			1
1232	Root;k__Chromista;p__Ciliophora;c__Gymnostomatea;o__Cyclotrichida	Chromista	Ciliophora	Gymnostomatea	Cyclotrichida	1
1233	Root;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	1
1234	Root;k__Chromista;p__Foraminifera;c__;o__Vaginulinida	Chromista	Foraminifera		Vaginulinida	1
1235	Root;k__Chromista;p__Ochrophyta;c__Bacillariophyceae;o__Dictyoneidales	Chromista	Ochrophyta	Bacillariophyceae	Dictyoneidales	1
1236	Root;k__Chromista;p__Ochrophyta;c__Phaeophyceae;o__Scytosiphonales	Chromista	Ochrophyta	Phaeophyceae	Scytosiphonales	1
1237	Root;k__Chromista;p__Haptophyta;c__Prymnesiophyceae;o__Podorhabdales	Chromista	Haptophyta	Prymnesiophyceae	Podorhabdales	1
1238	Root;k__Protozoa;p__Euglenozoa;c__Kinetoplastea;o__Bodonida	Protozoa	Euglenozoa	Kinetoplastea	Bodonida	1
1239	Root;k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Urocystidales	Fungi	Basidiomycota	Ustilaginomycetes	Urocystidales	1
1240	Root;k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__	Fungi	Ascomycota	Laboulbeniomycetes		1
1241	Root;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Chaetomellales	Fungi	Ascomycota	Leotiomycetes	Chaetomellales	1
1242	Root;k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	1
1243	Root;k__Chromista;p__Ciliophora;c__Hypotrichea;o__Euplotida	Chromista	Ciliophora	Hypotrichea	Euplotida	1
1244	Root;k__Chromista;p__Bigyra;c__Labyrinthulea;o__Thraustochytrida	Chromista	Bigyra	Labyrinthulea	Thraustochytrida	1
1245	Root;k__Chromista;p__Ciliophora;c__Cyrtophoria;o__Cyrtophorida	Chromista	Ciliophora	Cyrtophoria	Cyrtophorida	1
1246	Root;k__Chromista;p__Ochrophyta;c__Xanthophyceae;o__Phyllosiphonales	Chromista	Ochrophyta	Xanthophyceae	Phyllosiphonales	1
1247	Root;k__Chromista;p__Haptophyta;c__Prymnesiophyceae;o__Eiffellithales	Chromista	Haptophyta	Prymnesiophyceae	Eiffellithales	1
1248	Root;k__Chromista;p__Cercozoa;c__Phytomyxea;o__Plasmodiophorida	Chromista	Cercozoa	Phytomyxea	Plasmodiophorida	1
1249	Root;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Togniniales	Fungi	Ascomycota	Sordariomycetes	Togniniales	1
1250	Root;k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__	Fungi	Basidiomycota	Microbotryomycetes		1
1251	Root;k__Chromista;p__Ochrophyta;c__Eustigmatophyceae;o__Eustigmatales	Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	1
