"kingdom","order","count"
"Plantae","Chlamydomonadales",165
"Chromista","Chlamydomyxales",1
"Bacteria","Chloracidobacteriales",7
"Chromista","Chloramoebales",11
"Plantae","Chloranthales",96
"Chromista","Chlorarachniales",1
"Plantae","Chlorellales",159
"Bacteria","Chlorobiales",34
"Plantae","Chlorocystidales",2
"Plantae","Chlorodendrales",25
"Bacteria","Chloroflexales",53
"Plantae","Chlorokybales",5
"Plantae","Chloropicales",2
"Protozoa","Choanoflagellida",154
"Animalia","Chondrillida",45
"Animalia","Chondrosiida",12
"Chromista","Chordariales",3
"Animalia","Chordeumatida",1504
"Chromista","Choreotrichida",335
"Bacteria","Christensenellales",727
"Animalia","Chromadorida",1012
"Bacteria","Chromatiales",122
"Chromista","Chromulinales",212
"Chromista","Chrysanthemodiscales",1
"Bacteria","Chrysiogenales",4
"Chromista","Chrysomeridales",4
"Chromista","Chrysosphaerales",9
"Bacteria","Chthoniobacterales",99
"Bacteria","Chthonomonadales",14
"Fungi","Chytridiales",621
"Protozoa","Chytridiopsida",27
"Animalia","Ciconiiformes",70
"Animalia","Cidaroida",632
"Animalia","Cingulata",386
"Viruses","Cirlivirales",268
"Fungi","Cladochytriales",27
"Plantae","Cladophorales",209
"Fungi","Cladoriellales",5
"Fungi","Classiculales",3
"Animalia","Clathrinida",251
"Chromista","Climacospheniales",20
"Animalia","Clionaida",238
"Bacteria","Cloacimonadales",39
"Bacteria","Clostridiales",259
"Animalia","Clupeiformes",600
"Animalia","Clymeniida",131
"Animalia","Clypeasteroida",387
"Animalia","Cnemidolestodea",85
"Chromista","Coccidiniales",5
"Chromista","Coccolithales",35
"Chromista","Coccosphaerales",106
"Animalia","Cocculinida",70
"Animalia","Coelacanthiformes",146
"Plantae","Colaconematales",28
"Plantae","Coleochaetales",19
"Animalia","Coleoptera",373306
"Animalia","Coliiformes",20
"Fungi","Collemopsidiales",78
"Animalia","Collothecacea",61
"Animalia","Coloniales",161
"Chromista","Colpodellida",2
"Chromista","Colpodida",112
"Animalia","Colpomyida",5
"Chromista","Colponemida",1
"Animalia","Columbiformes",438
"Animalia","Comatulida",795
"Plantae","Commelinales",1115
"Fungi","Comminutisporales",1
"Bacteria","Competibacterales",25
"Plantae","Compsopogonales",5
"Archaea","Conexivisphaerales",7
"Fungi","Coniochaetales",124
"Fungi","Coniocybales",50
"Fungi","Conioscyphales",18
"Fungi","Coniosporiales",71
"Animalia","Conocardiida",220
"Animalia","Copelata",76
"Bacteria","Coprothermobacterales",5
"Animalia","Coraciiformes",246
"Animalia","Corallimorpharia",49
"Plantae","Corallinales",788
"Fungi","Cordanales",25
"Chromista","Corethrales",15
"Bacteria","Coriobacteriales",265
"Plantae","Cornales",960
"Animalia","Coronatae",78
"Fungi","Coronophorales",276
"Fungi","Corticiales",238
"Fungi","Coryneliales",67
"Animalia","Corynexochida",742
"Plantae","Corynodactylales",1
"Chromista","Coscinodiscales",1503
"Bacteria","COTS27",2
"Bacteria","Coxiellales",27
"Archaea","CR-4",37
"Bacteria","CR04bin15",2
"Animalia","Craniida",85
"Animalia","Crassiclitellata",5909
"Animalia","Craterostigmomorpha",2
"Viruses","Cremevirales",84
"Protozoa","Cribrariales",179
"Plantae","Crossosomatales",73
"Bacteria","Cryosericales",5
"Viruses","Cryppavirales",110
"Fungi","Cryptocaliciales",1
"Animalia","Cryptolobiferida",2
"Chromista","Cryptomonadales",78
"Fungi","Cryptomycocolacales",2
"Animalia","Cryptostomida",1604
"Archaea","CSSed11-243R1",4
"Animalia","Ctenostomatida",478
"Bacteria","CTSoil-072",2
"Animalia","Cuculiformes",187
"Plantae","Cucurbitales",3601
"Bacteria","Culicoidibacterales",3
"Animalia","Cumacea",1875
"Bacteria","Curtissbacterales",14
"Chromista","Cutleriales",11
"Plantae","Cyanidiales",2
"Bacteria","Cyanobacteriales",1483
"Plantae","Cyatheales",942
"Plantae","Cycadales",755
"Plantae","Cyclocrinales",5
"Animalia","Cycloneritida",2320
"Chromista","Cyclophorales",31
"Animalia","Cyclophyllidea",1227
"Animalia","Cyclopoida",4898
"Animalia","Cyclostomatida",2939
"Chromista","Cyclotrichida",37
"Animalia","Cydippida",77
"Chromista","Cymatosirales",124
"Chromista","Cymbellales",2541
"Fungi","Cyphobasidiales",9
"Animalia","Cypriniformes",5429
"Animalia","Cyprinodontiformes",1530
"Animalia","Cyrtodontida",140
"Chromista","Cyrtolophosidida",53
"Animalia","Cyrtonellida",68
"Animalia","Cyrtoneritida",75
"Chromista","Cyrtophorida",231
"Fungi","Cystobasidiales",36
"Fungi","Cystofilobasidiales",51
"Animalia","Cystoporida",1407
"Bacteria","Cytophagales",582
"Fungi","Cyttariales",15
"Bacteria","D8A-2",16
"Fungi","Dacrymycetales",225
"Animalia","Dactylogyridea",3386
"Protozoa","Dactylopodida",12
"Plantae","Dasycladales",252
"Animalia","Dasyuromorphia",158
"Bacteria","Daviesbacterales",32
"Animalia","Decapoda",22210
"Bacteria","Deferribacterales",19
"Bacteria","Deferrisomatales",8
"Bacteria","Dehalobacteriales",3
"Bacteria","Dehalococcoidales",77
"Bacteria","Deinococcales",147
"Fungi","Delonicicolales",6
"Animalia","Dendroceratida",76
"Plantae","Dendrocerotales",70
"Animalia","Dendrochirotida",1105
"Animalia","Dendrogastrida",55
"Animalia","Dentaliida",536
"Animalia","Dermaptera",2137
"Animalia","Dermoptera",23
"Animalia","Desmacellida",38
"Chromista","Desmarestiales",14
"Plantae","Desmidiales",1141
"Animalia","Desmodorida",922
"Chromista","Desmomastigales",1
"Animalia","Desmoscolecida",349
"Chromista","Desmothoracida",2
"Bacteria","Desulfarculales",6
"Bacteria","Desulfatiglandales",39
"Bacteria","Desulfitibacterales",2
"Bacteria","Desulfitobacteriales",38
"Bacteria","Desulfobaccales",13
"Bacteria","Desulfobacterales",159
"Bacteria","Desulfobulbales",94
"Bacteria","Desulfofervidales",2
"Bacteria","Desulfomonilales",11
"Bacteria","Desulfotomaculales",89
"Bacteria","Desulfovibrionales",192
"Bacteria","Desulfurellales",9
