OTU_ID,nr_authors,taxonomicResearchNeeded,cropWildRelatives,horizonInvasives,habitatsDir,marineDir,iasListConcern,redlistFull,birdDir,pollinators,numOfSpecies,order
393,24,7,0,0,0,1,0,0,0,0,137,Mugiliformes
394,0,0,0,0,0,0,0,0,0,0,70,Cocculinida
395,0,0,0,0,0,0,0,0,0,0,475,Embioptera
396,0,0,0,0,0,0,0,0,0,0,140,Cyrtodontida
398,0,0,0,0,0,0,0,0,0,0,2907,Trepostomatida
399,2,0,0,0,0,0,0,0,0,0,74,Bursovaginoidea
400,4,1,0,0,0,0,0,0,0,0,89,Elopiformes
401,0,0,0,0,0,0,0,0,0,0,81,Millericrinida
402,3,0,0,0,0,0,0,0,0,0,166,Isocrinida
403,35,0,0,2,0,0,0,0,0,0,1070,Stolidobranchia
404,13,1,0,0,0,0,0,0,0,0,1233,Nuculanida
405,45,0,0,0,0,0,0,0,0,0,478,Ctenostomatida
406,11,38,0,0,0,0,0,2,0,0,776,Sphaeriida
408,0,0,0,0,0,0,0,0,0,0,179,Monstrilloida
409,1,0,0,0,0,0,0,0,0,0,72,Echinothurioida
410,23,13,0,0,0,0,0,2,8,0,119,Falconiformes
411,10,0,0,0,0,0,0,0,0,0,40,Scopalinida
412,19,0,0,0,0,0,0,0,0,0,238,Siphonophorae
413,4,0,0,0,0,0,0,0,0,0,131,Clymeniida
415,4,0,0,0,0,0,0,0,0,0,135,Synbranchiformes
416,0,0,0,0,0,0,0,0,0,0,3,Odontopleurida
417,0,0,0,0,0,0,0,0,0,0,16,Heliolitina
418,0,0,0,0,0,0,0,0,0,0,70,Limnomedusae
419,0,0,0,0,0,0,0,0,0,0,73,Albuliformes
420,54,0,0,0,0,0,0,0,0,0,359,Glomerida
421,0,0,0,0,0,0,0,0,0,0,69,Diphyllidea
422,29,0,0,0,0,0,0,0,0,0,695,Gyrodactylidea
425,3,0,0,0,0,0,0,0,0,0,1,Limnognathida
426,0,0,0,0,0,0,0,0,0,0,4,Mormonilloida
427,57,0,0,0,0,0,0,0,0,0,116,Plumatellida
428,54,0,0,0,0,0,0,0,0,0,620,Leucosolenida
430,0,1,0,0,0,0,0,0,0,0,93,Batrachoidiformes
431,0,0,0,0,0,0,0,0,0,0,57,Lepisosteiformes
432,4,0,0,0,0,0,0,0,0,0,396,Schizomida
433,0,0,0,0,0,0,0,0,0,0,8,Arthrochirotida
434,16,0,0,0,0,0,0,0,0,0,422,Bdelloidea
436,0,0,0,0,0,0,0,0,0,0,166,Siphonariida
437,0,0,0,0,0,0,0,0,0,0,117,Molpadida
438,32,29,0,0,0,2,1,0,10,0,230,Pelecaniformes
439,11,0,0,0,0,0,0,0,0,0,77,Hyracoidea
440,0,0,0,0,0,0,0,0,0,0,5,Colpomyida
441,2,0,0,0,0,0,0,0,0,0,210,Rhinebothriidea
442,99,0,0,0,0,0,0,0,0,0,179,Caryophyllidea
443,0,0,0,0,0,0,0,0,0,0,6,Vampyromorpha
444,0,0,0,0,0,0,0,0,0,0,17,Eoblattida
445,67,0,0,0,0,0,0,0,0,0,1170,Haplosclerida
447,3,5,0,0,0,0,0,2,2,0,20,Pteroclidiformes
448,4,2,0,0,0,0,0,0,0,0,304,Osteoglossiformes
449,8,0,0,0,0,0,0,0,0,0,90,Afrosoricida
450,2,0,0,0,0,0,0,0,0,0,192,Polystomatidea
452,4,0,0,0,0,0,0,0,0,0,228,Solemyida
453,1,0,0,0,0,0,0,0,0,0,83,Platydesmida
454,18,4,0,0,0,0,0,0,0,0,382,Anostraca
455,0,1,0,0,0,0,0,0,0,0,49,Corallimorpharia
456,11,0,0,0,0,0,0,0,0,0,158,Thecideida
457,7,0,0,0,0,0,0,0,0,0,1875,Cumacea
458,39,0,0,0,0,0,0,0,0,0,297,Spongillida
459,13,0,0,0,0,0,0,0,0,0,38,Struthioniformes
461,7,0,0,0,0,0,0,0,0,0,64,Zoraptera
462,0,0,0,0,0,0,0,0,0,0,153,Aplysiida
463,0,0,0,0,0,0,0,0,0,0,159,Phymosomatoida
464,0,0,0,0,0,0,0,0,0,0,20,Coliiformes
465,12,0,0,0,0,0,0,0,0,0,54,Glosselytrodea
466,6,0,0,0,0,0,0,0,0,0,67,Haplotaxida
467,0,0,0,0,0,0,0,0,0,0,69,Peramelemorphia
468,12,0,0,0,0,0,0,0,0,0,383,Polymorphida
471,0,0,0,0,0,0,0,0,0,0,118,Ricinulei
472,0,0,0,0,0,0,0,0,0,0,9,Litobothriidea
473,0,0,0,0,0,0,0,0,0,0,64,Heterodontiformes
474,0,0,0,0,0,0,0,0,0,0,156,Tetraphyllidea
475,4,1,0,0,0,0,0,0,0,0,76,Copelata
